model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,80,1000080,254.3999881133373,400,31,295.3999881252644,31,274.39998811781163,31,254.3999881133373,31,False,True,10,1,4,5,41,2.74286616106608,202,33,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,81,1000081,190.3999896228331,400,27,173.8999919340016,21,210.39998962432207,27,190.3999896228331,27,False,True,22,4,7,11,33,17.636347352122616,223,29,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,82,1000082,135.9999896317739,400,27,185.9999919414523,21,155.99998964220362,27,135.9999896317739,27,False,True,68,5,25,38,40,31.697027013576584,291,32,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,83,1000083,270.8999869614777,400,34,268.8999885082246,30,290.8999869689327,34,270.8999869614777,34,False,True,25,1,8,16,25,12.338252249827073,257,38,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,84,1000084,233.899989342689,400,28,263.8999893531202,28,253.89998934417798,28,233.899989342689,28,False,True,5,2,3,0,50,1.389893021496,189,30,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,85,1000085,248.99998773782974,400,32,278.9999885112046,30,268.99998773783227,32,248.99998773782974,32,False,True,23,1,10,12,18,10.655053316150076,200,37,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,86,1000086,284.4999873503973,400,33,294.9999881222841,31,304.4999873563622,33,284.4999873503973,33,False,True,5,0,2,3,77,1.8088430214959998,193,35,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,87,1000087,260.4999880820447,400,31,260.49998923987147,28,280.4999880865195,31,260.4999880820447,31,False,True,7,1,1,5,61,4.5551862726878625,219,34,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,88,1000088,257.9999877333572,400,32,297.4999877423046,32,277.99998773485186,32,257.9999877333572,32,False,True,17,0,9,8,28,4.089296232687863,211,35,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,89,1000089,236.9999892473205,400,28,266.99998925775265,28,256.9999892547702,28,236.9999892473205,28,False,True,3,0,1,2,46,1.8088430214959998,173,29,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,90,1000090,254.49998697637878,400,34,295.9999877527354,32,274.4999869793631,34,254.49998697637878,34,False,True,34,1,16,17,40,20.03787747648886,239,37,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,91,1000091,39.99998925924384,400,28,33.499996548891254,9,113.49999081194447,24,39.99998925924384,28,False,True,133,13,50,70,35,51.17371096881074,281,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,92,1000092,246.4999881148298,400,31,260.99998889118416,29,266.4999881193019,31,246.4999881148298,31,False,True,11,3,3,5,46,3.790508837844758,216,36,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,93,1000093,240.3999884918309,400,30,279.39998850971443,30,260.3999884963013,30,240.3999884918309,30,False,True,15,1,5,9,15,2.74286616106608,209,34,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,94,1000094,236.49998934119859,400,28,253.49998964071293,27,256.4999893426877,28,236.49998934119859,28,False,True,9,1,3,5,45,6.217608687866105,200,32,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,95,1000095,63.499989257754734,400,28,242.9999900311234,26,140.99998926073388,28,63.499989257754734,28,False,True,110,13,42,55,34,71.15418980694949,279,34,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,96,1000096,292.49998697339765,400,34,307.99998774826463,32,312.4999869778725,34,292.49998697339765,34,False,True,9,0,2,7,87,3.790508837844758,194,35,82
