model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,40,1000040,170.49998924732364,400,28,257.4999892562628,28,206.49998924881262,28,170.49998924732364,28,False,True,46,6,13,27,46,15.99858546073392,275,31,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,41,1000041,238.99998734742073,400,33,309.99998735934435,33,270.9999873533817,33,238.99998734742073,33,False,True,42,0,20,22,63,24.4411215284199,270,36,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,42,1000042,197.9999877288935,400,32,261.99998889863514,29,251.99998773485285,32,197.9999877288935,32,False,True,47,6,21,20,33,11.981825081516435,274,37,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,43,1000043,228.99998772889214,400,32,290.9999877452849,32,263.49998773634206,32,228.99998772889214,32,False,True,45,1,16,28,39,17.971813751519242,251,36,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,44,1000044,236.99998885840142,400,29,242.49999001771226,26,259.9999888628717,29,236.99998885840142,29,False,True,14,0,4,10,42,9.072503383826607,245,31,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,45,1000045,201.49998848438358,400,30,261.4999888837338,29,243.49998849332317,30,201.49998848438358,30,False,True,39,3,17,19,29,18.870274242034682,267,32,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,46,1000046,183.49998887181448,400,29,251.49998927563453,28,219.4999888747936,29,183.49998887181448,29,False,True,55,3,17,35,31,26.7746990978515,291,35,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,47,1000047,156.49998922646228,400,28,239.99999000579137,26,197.49998923391175,28,156.49998922646228,28,False,True,53,7,17,29,33,14.120087204830533,258,32,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,48,1000048,134.9999892562646,400,28,259.49998926818387,28,192.4999892592437,28,134.9999892562646,28,False,True,63,9,22,32,34,17.971813751519242,266,31,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,49,1000049,148.4999892532844,400,28,243.9999896526339,27,192.49998926073388,28,148.4999892532844,28,False,True,63,5,25,33,56,17.971813751519242,277,30,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,50,1000050,183.99998696148347,400,34,267.99998888671405,29,252.49998696744282,34,183.99998696148347,34,False,True,64,12,20,32,22,17.971813751519242,292,36,92
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,51,1000051,183.4999881118553,400,31,116.99999502301253,13,250.99998812675537,31,183.4999881118553,31,False,True,62,4,25,33,76,19.709120405080164,245,35,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,52,1000052,177.99998886287392,400,29,252.99998964816353,27,221.49998886883327,29,177.99998886287392,29,False,True,51,4,19,28,26,15.99858546073392,277,32,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,53,1000053,171.9999892532844,400,28,228.49998964965366,27,202.49998925775364,28,171.9999892532844,28,False,True,43,5,16,22,35,11.981825081516435,264,32,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,54,1000054,84.99999078512377,400,24,118.49999348968299,17,130.49999079257324,24,84.99999078512377,24,False,True,83,9,22,52,29,22.19491992695908,280,32,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,55,1000055,121.49998963475414,400,27,206.99999042004373,25,179.49998963624313,27,121.49998963475414,27,False,True,70,9,22,39,32,15.99858546073392,286,34,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,56,1000056,197.99998783171358,400,32,215.99999004155418,26,237.49998783767293,32,197.99998783171358,32,False,True,55,9,16,30,37,17.971813751519242,226,37,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,57,1000057,160.4999896273035,400,27,227.99999040812273,25,192.49998963326286,27,160.4999896273035,27,False,True,46,5,16,25,30,22.19491992695908,281,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,58,1000058,124.99998926222511,400,28,124.49999272227319,19,165.4999892637141,28,124.99998926222511,28,False,True,77,10,21,46,32,31.048742385375775,296,33,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,59,1000059,247.49998735189428,400,33,39.999998079240214,5,164.99999195486316,21,247.49998735189428,33,False,True,25,4,8,13,145,9.363343645803235,203,34,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,60,1000060,231.9999880984406,400,31,248.9999896392228,27,267.4999881029112,31,231.9999880984406,31,False,True,28,3,7,18,47,12.338252249827073,247,33,90
